Wavelength (nm),60 s reaction,90 s reaction,120 s reaction,150 s reaction,180 s reaction,210 s reaction,240 s reaction,270 s reaction,300 s reaction,330 s reaction,360 s reaction,390 s reaction,420 s reaction,570 s reaction,600 s reaction
379.0700073,73.08409119,61.0454483,110.7644501,124.9606552,146.716568,171.5669403,172.3054352,191.2294769,160.7569885,237.5020905,218.5396118,241.5695343,236.3090057,162.6615753,236.5203857
380,73.25798798,60.96619797,111.2108307,124.7846298,147.8681488,171.636261,173.4286652,191.6523285,158.4080048,234.7471313,220.4001617,244.2516174,234.4160767,164.5667419,236.4347076
381.0700073,74.47640228,60.51899338,110.954071,125.2503662,148.3635559,172.954834,173.9076996,190.3686218,160.4182434,236.9072571,220.3566895,247.6772766,238.0197296,167.2202454,237.9063873
382,75.06665802,62.05140305,112.1441803,125.0573807,148.1941223,174.5726624,174.3236694,195.0901642,161.2209625,237.4810028,222.5299988,249.1394653,239.0540466,171.5655518,242.0436859
383.0700073,75.33561707,61.92628479,112.5671082,125.8350906,149.2920227,175.720871,175.2868042,195.1723938,160.289032,237.3883667,222.6673126,250.2797546,239.8318329,174.4624481,243.3960571
384,76.03787231,62.7719841,114.1034164,126.26754,149.9865417,177.5910034,175.0406647,193.7875519,159.7070313,238.0635986,222.1166229,250.5267334,238.5609589,175.4758148,244.0878601
385.0700073,76.36450195,62.4598732,113.8414383,126.7178955,149.5844269,178.5484009,175.1539001,195.2142639,160.3542938,237.4238739,224.0215454,253.656662,238.69104,179.0980988,243.9865265
386,76.20326233,62.98791504,113.9236526,126.8580093,151.2958679,178.7061768,173.9852295,197.1233826,159.3141022,237.7481384,224.5032806,252.9681396,239.0740662,180.9715576,245.1691132
387.0700073,76.36262512,62.38452148,114.921936,125.7995377,150.5809784,178.4715424,175.7071686,196.1737976,158.2674866,237.5440521,222.3842316,253.4247894,239.485672,183.0578613,245.3639374
388,76.70882416,62.32328033,115.0718155,126.5763931,149.8216705,181.276947,176.4846802,197.4220276,159.9946136,238.8097382,223.020752,253.5856628,239.915741,185.6607971,247.6921234
389.0700073,76.70913696,62.1668129,115.5327301,126.2381058,151.1316528,180.3344269,175.6460876,198.5894775,158.7714081,237.2497711,224.6793518,256.745697,240.5754395,188.7472534,248.9095917
390,78.60308838,61.78094101,115.3140793,127.8354111,151.9609222,180.87854,176.2976685,196.5914459,159.5441437,236.9674683,224.6513367,257.044281,239.5045776,191.1944275,251.2985229
391.0599976,77.40067291,63.16249847,117.4047318,126.5258942,150.9056244,181.16362,176.543457,198.7294006,159.4674072,236.3493652,225.4917145,257.567688,240.83284,192.3321075,250.0404053
391.9599915,77.61616516,62.42655182,116.4308243,127.6759033,152.7386627,181.6864624,177.4349518,199.7631836,159.4801636,238.6508636,223.7413788,259.6276245,237.3705139,195.9447937,251.0707397
393.0299988,77.36595154,63.39507675,116.8691483,127.63591,151.4350433,183.4769135,176.8072968,199.1485596,157.445816,236.4572601,223.4375305,257.3114624,240.2052917,196.5011139,252.622879
393.9299927,77.10044861,63.41213608,116.2499542,125.295372,151.4541626,181.1128235,176.0559235,198.1957855,157.0875702,236.0660706,223.4890137,256.4294739,239.6242523,196.968277,251.140213
395,77.39478302,62.78688431,116.9720383,125.578392,150.3861084,181.4957275,173.1202087,196.944397,155.9920807,234.7425995,223.437851,256.2201233,238.6731415,197.1999817,249.5359802
396.0599976,77.37863922,64.14051819,116.1947861,126.129776,150.589447,182.1551208,174.7776337,196.6361847,156.1198883,233.3632202,219.3078461,257.5621643,237.0860443,199.4020691,251.7747803
396.9599915,77.65225983,62.72889709,115.8866806,125.4996338,150.4853516,182.5727692,173.8260956,195.9776764,154.0991364,232.8947449,221.0914764,257.3229675,238.0507813,202.0059357,252.571701
398.0299988,76.48990631,62.83874893,115.7699738,126.5343246,149.0705719,182.3035889,173.0053406,194.7522278,152.881424,233.3436127,222.0723267,256.9642334,236.6881409,203.3063965,250.782608
398.9299927,77.1625824,62.9791832,116.3420105,125.6007233,152.4608154,183.0578766,173.9772491,196.0520782,154.3683167,232.5479889,219.437439,260.0409241,238.3328247,205.7917786,251.6762085
400,77.58555603,62.68236923,117.0291214,125.5455322,151.8522339,183.0298004,173.0624237,197.5442657,153.258728,234.3007355,222.1591797,259.6447754,236.3701019,207.6542511,253.9897308
401.0700073,77.2532196,62.76417542,117.34095,125.9938354,150.4503784,184.3478394,173.8939514,198.3829346,153.9944916,233.4578094,222.0197296,258.2361755,237.6802368,211.0584259,253.4241028
402,77.90701294,62.55373383,117.6342087,125.7145844,150.7912903,184.5626678,173.9233093,198.7975311,153.4670258,233.4360352,219.7603302,259.9192505,237.2704163,215.0031433,255.408371
403.0700073,77.4573822,62.95108795,119.0989075,126.131012,150.8361816,185.6146393,174.1043701,198.3323669,152.8974609,233.4263458,224.4824219,262.8421631,238.082016,217.03508,255.0786743
404,78.33706665,62.08085632,119.4825363,126.0324402,152.2638702,185.9555359,174.621048,199.4993591,152.8273468,233.7052002,222.5838318,262.8787842,237.3067474,219.0052338,255.7502441
405.0700073,77.65616608,62.78287506,117.7447052,125.5244293,151.7900696,184.2044373,174.3482666,199.3235168,151.6954803,231.9814606,220.0124054,260.3585205,237.299469,218.3175659,255.2086487
406,77.88982391,63.40459824,118.377594,126.6047516,150.4100189,184.5950012,173.1279755,197.6685486,151.0570831,231.7164612,220.3772125,262.0822754,236.929306,219.196167,256.6817322
407.0700073,77.96772003,62.4757309,117.8485489,124.7985077,151.5519104,182.7936401,172.8081665,197.5435944,149.9676666,230.4264374,219.1909637,261.1021729,236.3724365,221.0402527,255.8499298
408,77.79148102,62.93968964,118.5981522,124.8726044,151.6066132,183.5654907,172.2209778,196.773819,149.595993,230.6116791,219.4487305,260.2750244,236.2192841,220.4778748,256.8625488
409.0700073,77.28559113,63.52763748,119.2773056,123.8559189,150.7069855,184.0475311,171.7327881,198.0035858,148.9820557,230.7002258,220.0155334,261.4415283,236.0354767,224.1197205,255.2598724
410,78.0069046,63.37247849,118.7887115,124.0857849,149.7333984,185.0371552,172.0118866,198.2741089,149.6256561,229.6757355,220.3300171,261.3447876,236.8783569,226.900589,257.9703979
411.0599976,78.05781555,61.8710556,118.0573883,124.185112,150.3782501,184.2135773,171.6206055,197.6849976,148.1005249,229.2042389,218.6534119,261.8218689,235.4926147,228.4324493,257.960968
411.9599915,77.50434875,63.1843071,118.4647217,124.1964188,150.483551,184.2755585,170.5864563,197.571106,149.2995148,228.486969,219.1323547,260.8461914,234.8596802,229.2218628,257.3941956
413.0299988,78.41305542,62.53695679,118.1026535,123.9435654,150.786972,184.9234314,171.0981903,196.0387573,149.2414093,229.9720001,219.4515839,262.8050537,234.5547791,232.5851288,259.3922119
