Wavelength (nm),30 s reaction,30 s reaction_overnight,300 s reaction,300 s reaction_overnight,600 s reaction,600 s reaction_overnight
636.9851074,-0.004605715,0.00873147,0.003136277,0.012088872,0.00994991,0.012910132
635.9919434,-0.004407784,0.008915334,0.003437218,0.012175624,0.009797749,0.012846483
634.9985962,-0.004229452,0.008865055,0.003431269,0.012380288,0.009972875,0.013152496
634.0048218,-0.004302813,0.00886162,0.003266925,0.012121398,0.010080373,0.012710522
633.0109253,-0.004344538,0.008736779,0.003339699,0.012314719,0.010247714,0.012876106
632.0166626,-0.004189716,0.00887446,0.003427851,0.01239041,0.010043257,0.013213042
630.9852905,-0.004196023,0.00880749,0.003698474,0.012352829,0.009947157,0.013136434
629.9905396,-0.00420638,0.008957534,0.003640416,0.012590459,0.009801774,0.013302849
628.9954224,-0.004390103,0.008702128,0.003584635,0.012508526,0.009701809,0.013230869
628.000061,-0.004223453,0.008869176,0.003750614,0.01244997,0.009857829,0.013373959
627.0043945,-0.004361812,0.008874381,0.003720953,0.012657829,0.010465154,0.013451036
626.0084839,-0.004246473,0.008912005,0.003728786,0.01271476,0.010904929,0.013365204
625.0123291,-0.004490441,0.008780599,0.003909133,0.012515959,0.010553519,0.013437632
624.0158081,-0.004174384,0.009289696,0.003994267,0.012978058,0.010828515,0.013720766
622.9821777,-0.004215352,0.008918584,0.003924101,0.01287112,0.010696474,0.013771157
621.9852295,-0.004200381,0.009047997,0.004051119,0.012794172,0.010782949,0.013710693
620.987854,-0.004253087,0.008745468,0.003921802,0.012670889,0.010382163,0.013638993
619.9903564,-0.004095206,0.009152994,0.004323778,0.013017027,0.010806355,0.014103118
618.9924927,-0.0040274,0.00910681,0.004124677,0.012983046,0.010718203,0.014034
617.9944458,-0.003900019,0.009204735,0.004377614,0.013105085,0.010837617,0.014167782
616.9960327,-0.003996366,0.008954786,0.004412706,0.013103431,0.010958551,0.014301872
615.9974365,-0.004172897,0.009043795,0.004309869,0.013358797,0.010929509,0.014095926
614.9984741,-0.004145874,0.009071865,0.00459496,0.013339978,0.010896222,0.0143351
