Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,570 s,600 s
368.0183411,0.176021949,0.4807854,0.451370537,0.583147466,0.444797337,0.543754637,0.646707177,0.474295855,0.535497367,0.319423378,0.505759895,0.487138122,0.659093559,0.551800251,1.574347854,0.764201999
367.0061646,0.179755658,0.49007225,0.459482193,0.59375304,0.452312648,0.552877724,0.65747118,0.481731474,0.544005394,0.323744565,0.513021469,0.494537205,0.667967439,0.560100734,1.594143987,0.774284661
365.9938049,0.184208214,0.499975085,0.468982309,0.604823053,0.460624993,0.562324822,0.668633759,0.489852101,0.553262889,0.328977674,0.51892817,0.502224326,0.678573787,0.568314016,1.619921684,0.785571158
364.9813538,0.188630611,0.510473669,0.478289962,0.616445482,0.469030619,0.572741151,0.679660201,0.498140276,0.562539399,0.334519565,0.527695239,0.510325313,0.689607739,0.577110052,1.642977118,0.796731472
364.0076294,0.192639053,0.519826412,0.487569481,0.626770198,0.476691663,0.581737042,0.690571845,0.505618691,0.570751488,0.339204282,0.534298301,0.517671168,0.699398875,0.585643232,1.664021969,0.80764246
362.994873,0.19716689,0.531280279,0.496735454,0.638715327,0.485328913,0.591249645,0.70226711,0.513970673,0.579822242,0.344831646,0.540614367,0.525736451,0.710829079,0.593828559,1.689225793,0.819038749
361.9819641,0.201067865,0.541410029,0.506503522,0.650524676,0.493467927,0.601550698,0.713233471,0.52206248,0.588482738,0.349785656,0.550849557,0.533607423,0.720366657,0.602864862,1.711024284,0.830457449
361.0078735,0.205878809,0.551939309,0.515870929,0.661636472,0.501868486,0.611279368,0.725601137,0.530285716,0.597825646,0.354662001,0.557045877,0.541625917,0.730409145,0.61082089,1.736186504,0.841490209
359.9946594,0.211350843,0.56537956,0.527505994,0.676092744,0.512705684,0.623643696,0.739683569,0.54038012,0.609036923,0.361437738,0.564417601,0.551241636,0.743766904,0.621930659,1.764521241,0.855416656
358.9812927,0.21722129,0.57859844,0.53969729,0.690403521,0.523316801,0.635641873,0.753122568,0.551368296,0.619912863,0.367918015,0.573736072,0.561277628,0.756824136,0.632431746,1.794129848,0.869685769
358.0067749,0.221903011,0.590198517,0.550780356,0.701987267,0.532294154,0.646517575,0.765789866,0.559640288,0.630004764,0.37367335,0.583182752,0.569530964,0.767822385,0.642665505,1.818714619,0.881658196
356.9931335,0.226635873,0.602074742,0.560898602,0.715296328,0.541473866,0.657401264,0.778851152,0.568282485,0.639961898,0.379056484,0.590637565,0.578389585,0.778881013,0.652673781,1.841637373,0.89337939
356.0183716,0.232291117,0.616710663,0.573353946,0.729504705,0.551509857,0.669901967,0.792850018,0.579235017,0.651320458,0.385822713,0.59949106,0.58782351,0.791731834,0.662951231,1.868464828,0.90751344
355.004425,0.237600014,0.629490376,0.584905148,0.743592799,0.561550319,0.682494462,0.806897163,0.588970006,0.66215086,0.392080694,0.608764172,0.597918749,0.8052122,0.673578918,1.900605679,0.92175889
353.9903564,0.24230881,0.640395522,0.595598519,0.755748034,0.57043469,0.692812145,0.819454968,0.597550929,0.672174096,0.397739679,0.617072582,0.606153846,0.816618383,0.683288395,1.924896479,0.934627116
353.0151367,0.24585104,0.649722159,0.604196966,0.766709328,0.577754915,0.701536417,0.8296718,0.60491401,0.680382252,0.402271777,0.622909725,0.613430381,0.82652998,0.691484094,1.945878386,0.94547987
352.0007629,0.250557154,0.661724091,0.61407423,0.778806686,0.587401509,0.712458611,0.843086481,0.61431694,0.690306604,0.408741593,0.63062954,0.62226826,0.838444531,0.701304793,1.97636807,0.959353387
350.9862976,0.254410625,0.671707809,0.623369098,0.789846778,0.595326245,0.722246945,0.854897678,0.623059511,0.699706554,0.414324284,0.639041066,0.630616188,0.849892557,0.710790932,1.995094895,0.971263886
350.0107117,0.258183688,0.680539608,0.631758571,0.800544322,0.602606416,0.731587112,0.865338266,0.630844891,0.708643377,0.419411182,0.645596266,0.638588846,0.859982371,0.720175147,2.020555019,0.983072639
