Run,Abs_peak_nm,Eg_prime_eV,Radius_nm
Run 5,499.00479,2.4849460863892707,2.0124786837687942
Run 5,505.0112,2.4553910883560603,2.0483135038677904
Run 5,509.98541,2.4314421073340116,2.0788396274848537
Run 5,514.99231,2.4078029436983246,2.1103896269960916
Run 5,519.99371,2.384644229638855,2.142776247223835
Run 5,519.99371,2.384644229638855,2.142776247223835
Run 5,521.01559,2.3799671714237958,2.1495050678756424
Run 5,524.00604,2.3663849370896566,2.1694215726920127
Run 5,524.00604,2.3663849370896566,2.1694215726920127
Run 5,524.00604,2.3663849370896566,2.1694215726920127
Run 5,526.9942,2.3529670725028855,2.1896672037335567
Run 5,526.9942,2.3529670725028855,2.1896672037335567
Run 5,526.010099,2.357369188077129,2.1829608853582947
Run 5,526.9942,2.3529670725028855,2.1896672037335567
Run 5,531.00031,2.335215209196394,2.2173712472973697
Run 5,531.98242,2.3309040926577986,2.2242642741055585
Run 6,492.991,2.515258899249682,1.9776587942332176
Run 6,503.98535,2.460388977576432,2.042115413359905
Run 6,508.01154,2.440889433338463,2.0666311244224853
Run 6,508.99857,2.4361561565880234,2.0727200960990935
Run 6,511.9964,2.4218920289283283,2.091409696572616
Run 6,514.00653,2.412420713799103,2.104110457686755
Run 6,517.0011,2.3984475081387644,2.1232901849642665
Run 6,519.00897,2.3891687266985002,2.136328363017709
Run 6,519.99371,2.384644229638855,2.142776247223835
Run 6,522.00037,2.3754772434356703,2.1560263912515083
Run 6,522.98444,2.371007443357206,2.1625795042037077
Run 6,522.98444,2.371007443357206,2.1625795042037077
Run 6,526.01099,2.3573651949743484,2.182966939875518
Run 6,524.00604,2.3663849370896566,2.1694215726920127
Run 6,526.9942,2.3529670725028855,2.1896672037335567
Run 6,530.01807,2.3395428763400465,2.2105176813196348
Run 6,528.99768,2.344055648788479,2.2034401795741565
Run 6,530.01807,2.3395428763400465,2.2105176813196348
Run 7,460.016937,2.695552924826331,1.8029709383059878
Run 7,483.99588,2.562005279879655,1.9274170252686424
Run 7,495.01016,2.5049990893116214,1.9892356522532055
Run 7,503.98062,2.4604120690196383,2.04208691064943
Run 7,509.58987,2.433329375248374,2.0763829973522654
Run 7,514.99249,2.4078021021238585,2.110390776627421
Run 7,514.99249,2.4078021021238585,2.110390776627421
Run 7,516.01593,2.4030265887334137,2.116945623464872
Run 7,516.01593,2.4030265887334137,2.116945623464872
Run 7,522.00037,2.3754772434356703,2.1560263912515083
Run 7,522.00037,2.3754772434356703,2.1560263912515083
Run 7,522.98438,2.3710077153738323,2.1625791035316824
Run 7,522.98438,2.3710077153738323,2.1625791035316824
Run 7,522.98438,2.3710077153738323,2.1625791035316824
Run 7,526.0108,2.357366046476612,2.1829656487861646
Run 7,526.0108,2.357366046476612,2.1829656487861646
Run 7,522.00037,2.3754772434356703,2.1560263912515083
Run 7,522.00037,2.3754772434356703,2.1560263912515083
Run 8,460.016937,2.695552924826331,1.8029709383059878
Run 8,483.00378,2.567267693018883,1.9220036127174278
Run 8,495.01016,2.5049990893116214,1.9892356522532055
Run 8,499.99463,2.480026635486065,2.0183096377461878
Run 8,505.0119,2.4553876849238603,2.0483177443750207
Run 8,509.98587,2.4314399142078194,2.0788424874600016
Run 8,514.99249,2.4078021021238585,2.110390776627421
Run 8,514.99249,2.4078021021238585,2.110390776627421
Run 8,514.99249,2.4078021021238585,2.110390776627421
Run 8,514.99249,2.4078021021238585,2.110390776627421
Run 8,514.99249,2.4078021021238585,2.110390776627421
Run 8,505.011902,2.4553876751997814,2.0483177564907784
Run 8,499.99463,2.480026635486065,2.0183096377461878
Run 8,489.982513,2.5307025599911563,1.9606170602968553
Run 8,486.0177,2.5513474097754054,1.9385259601024196
Run 8,471.006867,2.632658007510536,1.8584134298514534
Run 8,454.993073,2.7253162159679736,1.7784453035639363
Run 8,454.993073,2.7253162159679736,1.7784453035639363
Run 9,488.99161,2.5358308294901013,1.9550572847603394
Run 9,498.0166,2.489876843462648,2.0066860728495173
Run 9,503.98602,2.460385706730516,2.0421194507975677
Run 9,508.99908,2.4361537156412933,2.072723250455846
Run 9,514.992249,2.4078032288986937,2.1103892373990636
Run 9,519.00916,2.3891678520664263,2.136329603682559
