Run,Abs_peak_nm,Eg_prime_eV,Radius_nm
Run 9,519.99384,2.384643633470735,2.142777100786332
Run 9,519.99384,2.384643633470735,2.142777100786332
Run 9,522.98438,2.3710077153738323,2.1625791035316824
Run 9,526.0108,2.357366046476612,2.1829656487861646
Run 9,526.9939,2.3529684119683356,2.189665153466764
Run 9,530.01764,2.339544774396565,2.21051468977345
Run 9,530.01764,2.339544774396565,2.21051468977345
Run 9,530.01764,2.339544774396565,2.21051468977345
Run 9,531.98199,2.330905976723009,2.2242612472101273
Run 9,530.99994,2.3352168363710173,2.2173686580554604
Run 9,531.98199,2.330905976723009,2.2242612472101273
Run 9,535.00232,2.317746958555245,2.2457176960690943
