Wavelength (nm),60 s reaction,90 s reaction,120 s reaction,150 s reaction,180 s reaction,210 s reaction,240 s reaction,270 s reaction,300 s reaction,330 s reaction,360 s reaction,390 s reaction,420 s reaction,600 s reaction
487.0100098,142.3082428,113.3487778,73.5764389,87.83216858,83.30067444,81.70328522,55.72615814,54.58491898,40.10139084,60.61553192,54.91854095,60.49089813,47.34018326,50.72434235
488.0499878,144.3816223,117.0410385,76.060112,88.21107483,84.07457733,82.20388031,56.837883,54.79901505,40.01018906,60.30092621,54.76178741,59.85261154,47.33008957,50.90971756
488.9500122,149.4139557,119.8985901,76.2600174,90.60825348,85.04847717,83.5349884,57.33721161,56.22712708,40.1023407,59.52675247,55.48783493,60.81957245,47.74581528,50.74040985
490,151.9583282,121.2858887,77.34118652,91.30073547,85.06344604,84.07424164,57.72593307,55.50461578,39.3775177,60.44451141,55.90226746,60.49648285,47.69305038,50.56888962
491.0599976,156.7663727,124.4304504,79.38245392,92.90504456,87.29864502,84.19852448,57.66603088,55.77636337,39.93359375,61.02444458,56.14247131,60.88127899,48.58185577,51.0436058
491.9599915,159.415802,126.9193573,80.69239044,94.01998138,89.03845978,85.68435669,58.89094543,55.83193207,40.57621765,61.5098114,56.61228943,60.40665817,48.6576767,51.11038589
493.0299988,164.460495,128.9236145,82.8711853,95.16889191,90.34169769,86.55235291,58.83982468,56.47965622,40.03820038,61.40022278,56.69049835,60.60028839,48.53108215,50.75691605
493.9299927,168.9871063,132.4142303,85.10183716,97.39019012,91.97011566,87.34954834,59.24384689,57.68099594,40.04602051,61.54272461,56.8883934,60.8533287,49.40839386,50.97158813
495,174.3027039,136.8682709,86.62742615,99.79409027,93.91202545,89.09810638,60.61845398,57.81310654,40.59482956,61.69568253,57.43019485,61.0748291,49.76455307,50.89050293
496.0599976,178.7486572,141.2254639,89.0472641,103.2336349,94.95965576,89.83879089,61.51947021,58.90197754,39.72660446,62.44407272,57.41863632,61.9342804,50.40290451,50.70568466
496.9599915,185.0322876,144.7860565,90.99640656,105.8594742,98.06441498,92.29367828,62.25223541,58.93464661,40.10400009,63.17139435,58.03802872,61.66230774,50.23703766,50.99539185
498.0299988,190.2397614,148.7482758,94.09881592,107.3259964,100.0139313,93.70400238,64.34114075,60.07661819,40.17777252,63.98933411,58.56315994,62.04327774,51.41003799,50.72035217
498.9299927,194.7545624,153.1033936,97.0639801,110.4621582,103.5263748,95.60617065,64.42390442,60.56033707,39.44548798,64.93572235,58.21954727,62.82579803,51.9706955,51.01337433
500,202.2660065,158.5682831,99.69444275,113.3608246,105.8253174,97.31066895,66.36354065,61.56589127,39.91687775,64.87017822,59.56007004,62.18928146,53.01674271,50.79886627
501.0400085,212.0788422,163.4769287,103.7575455,118.466217,110.1148987,99.00632477,67.84181976,63.17775726,40.27025604,65.48638153,59.69701004,63.67945862,53.73729706,50.50406647
501.9400024,215.1932373,170.4507599,107.6854935,121.9281464,113.3855133,103.2046967,69.01100922,64.05230713,39.85601807,66.3006134,59.90452194,63.80648804,54.49322891,51.40838242
