Wavelength (nm),20 s,40 s,60 s,80 s,100 s,120 s,140 s,160 s,180 s,220 s,240 s,260 s,280 s,300 s
364.0076294,0.218863577,0.524897993,0.362211853,1.10935843,0.361933082,0.871148944,1.181394815,0.652534962,0.491144866,0.395640791,0.861301601,0.846758187,0.902385771,0.800559342
362.994873,0.22340022,0.536555946,0.369557917,1.130781293,0.369525284,0.887764692,1.203553557,0.664129674,0.500598788,0.402874082,0.8764081,0.861210823,0.917976439,0.814237177
361.9819641,0.228688359,0.547448516,0.377721727,1.151454568,0.376499325,0.904191732,1.22497654,0.676180542,0.50924778,0.409443945,0.891730011,0.875352264,0.931603134,0.826980412
361.0078735,0.233912319,0.559871256,0.385331094,1.174362183,0.384155303,0.921405554,1.247187495,0.688421726,0.517929018,0.416621566,0.906163931,0.890034199,0.948035002,0.840573669
359.9946594,0.239959076,0.574208438,0.394817084,1.201407433,0.392621934,0.941272199,1.273545742,0.702730715,0.529282689,0.42534709,0.924900651,0.906542659,0.965241492,0.856485248
358.9812927,0.245872602,0.589140296,0.40417701,1.22929275,0.401147008,0.961258113,1.300147057,0.717644036,0.540589571,0.433744848,0.942371309,0.924126983,0.984846234,0.872867703
358.0067749,0.251281232,0.600411832,0.412023813,1.251069903,0.40875119,0.978478432,1.323346257,0.730513692,0.550045848,0.441365421,0.95882386,0.939305067,1.000327945,0.886843205
356.9931335,0.257153481,0.613960743,0.420805067,1.276938677,0.416732878,0.99673897,1.34711051,0.742797732,0.560130596,0.449377209,0.975477874,0.954892993,1.01546669,0.902097106
356.0183716,0.263067573,0.628841162,0.430333525,1.305689573,0.426103443,1.01890409,1.377542973,0.758502066,0.571706057,0.458009213,0.994060576,0.971859634,1.03508985,0.918323875
355.004425,0.269619107,0.644668996,0.440221429,1.335779071,0.435039878,1.039764166,1.404872894,0.774522781,0.58325094,0.467271149,1.012642145,0.991190672,1.05483079,0.936064184
353.9903564,0.275534451,0.658992648,0.448888302,1.361459017,0.443953276,1.060997009,1.432456613,0.7891469,0.594337761,0.475922465,1.032128215,1.007659197,1.07314837,0.952049017
353.0151367,0.28149721,0.671658576,0.45726347,1.383716345,0.451810449,1.078093648,1.45573926,0.802759528,0.604792118,0.483339399,1.048339367,1.02332747,1.088856101,0.967374921
352.0007629,0.288164288,0.68808794,0.468727529,1.417802691,0.462332696,1.102012038,1.487411141,0.820417881,0.617542863,0.494256407,1.069702744,1.043336153,1.110573888,0.987240374
350.9862976,0.295565516,0.705251992,0.479176641,1.449050784,0.472293705,1.126908183,1.520235658,0.837974191,0.630353034,0.504240632,1.091415405,1.064161062,1.132629871,1.005961061
350.0107117,0.302091986,0.721533597,0.489563495,1.478689551,0.482337862,1.149599791,1.548037648,0.855071485,0.642663837,0.513635457,1.111765385,1.082833409,1.154186845,1.024989605
