Run,Emi_peak_nm,Eg_prime_eV,Radius_nm
Run 6,505.33592190822736,2.4538132878374572,2.1022281343265474
Run 6,519.5025216114215,2.386898905040345,2.199016788060629
Run 6,525.8849321392368,2.357930269946752,2.2454143915712583
Run 6,530.0939270676532,2.339208084988578,2.2770615125648197
Run 6,532.8410736242301,2.3271479271781366,2.2981930047464134
Run 6,535.5186197367233,2.3155123917252785,2.3191662024898814
Run 6,537.2569170712427,2.308020540265227,2.332987904855741
Run 6,539.0435546391705,2.3003707016403188,2.3473673879541077
Run 6,540.9996281768332,2.292053331309664,2.3633171581362555
Run 6,542.5550289025947,2.2854824560526157,2.3761577304279493
Run 6,543.7625429007994,2.2804071670420627,2.386224869317228
Run 6,545.5893236340374,2.272771746596254,2.401622096764761
Run 6,546.167090853131,2.2703674768523294,2.4065344903375308
Run 6,547.420223126444,2.2651702432878205,2.4172606849649743
Run 6,548.3062209256516,2.2615099969258594,2.424904290764434
Run 6,550.3289764813013,2.253197728980807,2.4425444990192204
Run 6,552.1096565046201,2.2459306505348606,2.4582968614309517
Run 6,552.8950277213843,2.242740371730857,2.4653123774297843
Run 7,467.2951518820494,2.6535691521854052,1.8763052879450133
Run 7,492.23690872588645,2.5191121958116365,2.0193992557656384
Run 7,502.9597277784448,2.4654061379368004,2.0867571317510643
Run 7,508.9766205621469,2.4362612149659513,2.126340169607243
Run 7,513.0707344000216,2.416820755621621,2.1540686312161634
Run 7,516.4219814904233,2.401137140640856,2.177270747932857
Run 7,518.7361865282091,2.3904250989294886,2.193568812738138
Run 7,521.0601381892523,2.3797636954328376,2.210169729957306
Run 7,522.4000479922711,2.3736598125625474,2.2198505511256346
Run 7,524.1264921110791,2.3658411064197926,2.2324445980767087
Run 7,525.3168282642783,2.3604802535969327,2.2412083057896575
Run 7,526.574355650129,2.3548431227135023,2.2505392905285837
Run 7,526.765864804057,2.353987004190652,2.2519669254360477
Run 7,527.4817886108318,2.3507920591261464,2.2573195242853132
Run 7,527.9254437790734,2.3488165130357235,2.260648959475094
Run 7,528.2055670879115,2.34757086495005,2.26275609756851
Run 7,523.0859927429811,2.3705471322174656,2.224837988114381
Run 7,524.2284648603371,2.365380903782773,2.2331927687859556
Run 8,470.6325970541513,2.634751625283883,1.894471495355233
Run 8,484.1424232340987,2.561229796217258,1.9710161308262055
Run 8,496.13243205682744,2.4993326778886518,2.0434205589733945
Run 8,503.92672068164995,2.4606752313564177,2.093028166067667
Run 8,509.05300100368646,2.4358956681428543,2.1268514448748848
Run 8,512.1387606752289,2.4212188086781854,2.147697967595398
Run 8,514.6886373497314,2.4092235771613097,2.165212020766272
Run 8,516.2244235152269,2.40205605065376,2.1758899944622447
Run 8,516.6303792377037,2.400168572799841,2.1787290488402644
Run 8,516.4864130474153,2.4008375993545514,2.177721423243762
Run 8,513.939910664872,2.4127334232436652,2.1600417909464955
Run 8,506.0912767974683,2.450150905280735,2.1071896972036526
Run 8,498.7210567072796,2.486359826446647,2.0596621132423807
Run 8,491.8594725195372,2.5210452767090827,2.0170979856944
Run 8,486.4764812489439,2.5489413112356742,1.9847627336390958
Run 8,483.6058526334916,2.5640715331453063,1.9678787027378608
Run 8,487.3611622541664,2.5443143525526164,1.990015735161401
Run 8,486.7703619742948,2.5474024239493067,1.9865050972265619
Run 9,509.0485609821685,2.435916914503243,2.126821718087179
Run 9,518.2610880625158,2.39261644094419,2.190204105506598
Run 9,525.3977567435858,2.3601166622513152,2.2418065461442116
Run 9,529.7626587259898,2.340670826029978,2.2745391626427227
Run 9,534.0272555925457,2.32197886346479,2.307437640519833
Run 9,536.2555490359766,2.3123303847002434,2.325005671447002
Run 9,539.3640800700023,2.2990036708396757,2.349966008428419
Run 9,541.1672942710078,2.291343200387546,2.364694530639495
Run 9,543.2659677116665,2.282491585517683,2.3820743472541928
Run 9,545.5053323991201,2.273121684340844,2.4009096906844283
Run 9,545.5985293841948,2.272733398676058,2.4017002055694667
Run 9,547.5706754825353,2.264547857511317,2.418555134093498
Run 9,549.4158936024178,2.2569423535776343,2.4345486408476518
Run 9,550.4270090061644,2.252796428429101,2.4434062273181163
Run 9,551.0071134907737,2.250424667195813,2.4485185090514454
Run 9,551.0049097571354,2.2504336677263925,2.4484990459050793
Run 9,556.0290025497369,2.2300994989718754,2.49373296088342
Run 9,552.4786927109501,2.2444304483770425,2.4615881336870173
