Wavelength (nm),Run 2 60 s,Run 3 30 s,Run 4 360 s,Run 5 150 s,Run 6 30 s,Run 7 120 s,Run 8 150 s,Run 9 30 s
478.0299988,119.6365585,,78.01770782,23.80163383,89.66031647,43.62812805,87.05211639,42.57917023
478.9299927,121.8406982,,80.03668976,24.8713398,93.37369537,45.11156845,91.82431793,45.07961655
480,123.2769547,25.72537994,83.48969269,26.62308884,97.03817749,48.35411072,100.2733994,47.7284584
481.0400085,125.8224411,28.2097683,85.81050873,28.97303581,102.277832,51.75995636,107.3314056,50.95413971
481.9400024,127.1483765,30.11568832,88.9145813,30.68419647,107.6595917,54.63903427,115.3860474,54.81354141
482.980011,130.5895844,32.12876892,93.23570251,33.3496933,112.1980515,58.47428894,124.7496338,58.31921768
484.019989,132.26297,34.56307983,96.5723114,35.88664627,118.9196243,62.16560364,135.4401398,62.93033981
485.0700073,136.3773346,36.38734436,100.0812073,39.27108383,123.6017075,66.32821655,146.881073,67.44599915
485.9700012,137.8721313,38.04263687,102.7790985,42.25704956,128.2335663,70.33742523,155.8466034,72.03681183
487.0100098,142.3082428,40.23806763,106.4647598,46.35704041,134.6359253,74.92576599,170.2073059,77.1370163
488.0499878,144.3816223,43.32785797,111.7265015,50.772995,140.6482849,80.7532959,184.2424622,82.72902679
488.9500122,149.4139557,46.13899994,115.2526932,55.01860428,146.8149414,85.9605484,199.3711548,89.28809357
490,151.9583282,48.69933701,120.1136017,61.22393036,153.2459259,91.70553589,215.9384766,96.01811981
491.0599976,156.7663727,51.16949463,124.6003113,66.54698181,159.6225128,99.42591095,232.5191498,103.1885605
491.9599915,159.415802,53.00943756,128.5285492,72.07949829,165.0714569,103.2153015,246.72229,109.1776657
493.0299988,164.460495,56.08216858,131.9706879,77.82834625,171.0394897,110.0256195,262.4997864,116.6644974
493.9299927,168.9871063,59.45748901,135.6889496,85.12039948,177.0849609,116.490799,281.7795105,123.711647
495,174.3027039,62.471241,142.5659637,92.48212433,184.1688995,123.8365631,300.8349609,131.6098175
496.0599976,178.7486572,65.86804199,146.3835297,101.6492844,190.1407166,131.4894714,320.1485291,140.9630127
496.9599915,185.0322876,67.7845459,151.0962219,107.7780533,195.5962067,136.0698242,337.8046875,147.5540314
